ref;value;Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8
C1;100nF;;;;;;;;
C2;100nF;;;;;;;;
C3;100nF;;;;;;;;
C4;1uF;;;;;;;;
C5;1uF;;;;;;;;
C6;470uF/35V;;;;;;;;
C7;100nF;;;;;;;;
C8;470uF/25V;;;;;;;;
C9;100nF;;;;;;;;
C10;1uF;;;;;;;;
C11;1uF;;;;;;;;
C12;100nF;;;;;;;;
C13;1uF;;;;;;;;
C14;33nF;;;;;;;;
D1;S1G;;;;;;;;
D2;S1G;;;;;;;;
J1;SOLDER_JUMPER_CONN;;;;;;;;
J2;USB;;;;;;;;
J3;RJ12;;;;;;;;
J4;USB_2;VCC;D+;D-;GND;;;;
J5;RJ45;;;;;;;;
J6;SOLDER_JUMPER;;;;;;;;
J7;SOLDER_JUMPER_CONN;;;;;;;;
J8;SOLDER_JUMPER;;;;;;;;
JP1;JUMPER;;;;;;;;
K1;RELAY_M4;;;;;;;;
P1;DIN_5;;;;;;;;
P2;CONN_4;;;;;;;;
P3;CONN_STM32_P1;;;;;;;;
P4;CONN_3X2;;;;;;;;
P5;CONN_6;;;;;;;;
P6;CONN_2;;;;;;;;
P7;CONN_4;;;;;;;;
P8;CONN_2;;;;;;;;
P9;CONN_2;;;;;;;;
P10;CONN_2;;;;;;;;
Q1;BC847;;;;;;;;
R1;1K;;;;;;;;
R2;1K;;;;;;;;
R3;1K;;;;;;;;
R4;100;;;;;;;;
R5;100;;;;;;;;
R6;24 1%;;;;;;;;
R7;4K7;;;;;;;;
R8;24 1%;;;;;;;;
R9;4K7;;;;;;;;
R10;120;;;;;;;;
R11;1K5;;;;;;;;
R12;1K5;;;;;;;;
R13;24 1%;;;;;;;;
R14;24 1%;;;;;;;;
R15;39;;;;;;;;
R16;680;;;;;;;;
R17;1K;;;;;;;;
R18;47k;;;;;;;;
U1;MAX485;;;;;;;;
U2;ADuM4160;2061081;ADUM 4160;;;;;;
U3;MAX232;9725962;MAX 232 CWE;;;;;;
U4;74LS244;;;;;;;;
U5;PC814;;;;;;;;
